waiting for 1 second sample...
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  18   0  2468   2579 277M  66M  23G  23G 386M   7G  65986    200    116      1 
  16   0  2351   2515 272M  66M  23G  23G 387M   7G  55996    169 121449    125 
   6   0  1139   1529 242M  66M  23G  23G 388M   7G  16240     49      0      0 
  15   0  2174   2362 258M  66M  23G  23G 389M   7G  59968    180      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  16   0  2374   2664 275M  66M  23G  23G 389M   7G  65986    199      0      0 
  16   0  1558   1657 257M  66M  23G  23G 391M   7G  14350     44    112      1 
  10   1  2149   2361 498M  66M  23G  22G 387M   7G  51716    155 161964    180 
  20   0  2501   2531 415M  66M  23G  22G 387M   7G  66052    199      0      0 
  13   0  1439   1687 361M  66M  23G  22G 387M   7G  14336     44      0      0 
  11   0  1862   2173 279M  66M  23G  23G 388M   7G  51716    155      0      0 
  17   0  2373   2560 274M  66M  23G  23G 388M   7G  58244    184      0      0 
   6   0  1177   1468 275M  66M  23G  23G 389M   7G   9860     36 121460    127 
  18   1  2558   2694 268M  66M  23G  22G 389M   7G  64004    192      0      0 
  16   1  2322   2693 270M  66M  23G  22G 390M   7G  54148    165      0      0 
   6   0  1206   1653 275M  66M  23G  22G 391M   7G  18688     58      0      0 
  18   0  2551   2819 270M  66M  23G  22G 392M   7G  59268    176      0      0 
  16   1  2373   2630 265M  66M  23G  22G 393M   7G  64516    196    108      2 
   6   0  1331   1574 267M  66M  23G  22G 394M   7G  13824     43 161752    164 
  15   0  2160   2338 244M  66M  23G  22G 394M   7G  53764    161      0      0 
  16   0  2381   2617 274M  66M  23G  22G 395M   7G  66052    199      0      0 
  12   0  1626   1923 260M  66M  23G  22G 396M   7G  30848     92      0      0 
  10   0  1616   1894 245M  66M  23G  22G 397M   7G  35204    106    120      2 
  18   0  2679   2794 274M  66M  23G  22G 398M   7G  65986    200 161586    163 
  16   0  1951   2208 260M  66M  23G  22G 399M   7G  35107    105      0      0 
   9   1  1543   1930 240M  66M  23G  22G 400M   7G  30980     93      0      0 
  15   0  2379   2673 266M  66M  23G  22G 400M   7G  66052    199      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  15   0  2272   2662 277M  66M  23G  22G 401M   7G  57604    184    100      2 
   6   0  1208   1503 257M  66M  23G  22G 402M   7G  10496     33 121320    124 
  15   0  2279   2576 252M  66M  23G  22G 403M   7G  64004    209      0      0 
  16   0  2445   2792 266M  66M  23G  22G 404M   7G  66052    199      0      0 
  12   0  1408   1653 280M  66M  23G  22G 405M   7G  14322     44      0      0 
  10   0  1861   2183 243M  66M  23G  22G 405M   7G  51768    155    132      2 
  19   1  2797   2942 283M  66M  23G  22G 406M   7G  66052    198 162040    199 
  12   0  1628   1981 255M  66M  23G  22G 407M   7G  31488     96      0      0 
  10   0  1633   2043 243M  66M  23G  22G 408M   7G  34564    102      0      0 
  16   0  2245   2515 265M  66M  23G  22G 408M   7G  66052    198      0      0 
  18   0  2238   3481 240M  66M  23G  22G 410M   7G  53508    161    104      2 
   9   0  1372   1641 273M  66M  23G  22G 411M   7G  12544     38 121552    138 
  15   0  2218   2529 250M  66M  23G  22G 411M   7G  66052    199      0      0 
  14   0  2368   2813 274M  66M  23G  22G 412M   7G  66052    200      0      0 
  14   0  1509   1724 277M  66M  23G  22G 414M   7G  12288     38      0      0 
  10   0  1931   2345 255M  66M  23G  22G 414M   7G  53764    161    148      2 
  16   1  2546   2591 276M  65M  23G  22G 415M   7G  66052    210 161748    184 
  12   0  1565   1831 268M  65M  23G  22G 416M   7G  23040     75      0      0 
  10   0  1756   2110 277M  65M  23G  22G 417M   7G  43012    128      0      0 
  16   0  2398   2570 276M  65M  23G  22G 417M   7G  66052    207      0      0 
  13   0  1971   2276 270M  65M  23G  22G 419M   7G  51460    179      0      0 
  10   0  1277   1588 231M  65M  23G  22G 419M   7G  14592     44    108      2 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  18   1  2576   2698 230M  65M  23G  22G 420M   7G  66052    200 121364    125 
  10   0  1276   1565 225M  65M  23G  22G 421M   7G  10624     34      0      0 
  16   0  2250   2573 227M  65M  23G  22G 422M   7G  55428    164      0      0 
  19   0  2520   2726 221M  65M  23G  22G 423M   7G  64516    195      0      0 
   6   0   954   1367 222M  65M  23G  22G 423M   7G   1536      4    108      2 
  16   0  2678   2811 215M  65M  23G  22G 424M   7G  66052    199 161752    163 
  13   0  1861   2126 218M  65M  23G  22G 425M   7G  39168    119      0      0 
  11   0  1573   1828 215M  65M  23G  22G 426M   7G  26884     81      0      0 
  17   0  2389   2566 210M  65M  23G  22G 426M   7G  66052    199      0      0 
  15   0  2233   2531 211M  65M  23G  22G 427M   7G  59652    179    100      2 
   6   0  1224   1457 206M  65M  23G  22G 428M   7G   6400     20 161744    168 
  18   0  2468   2655 207M  65M  23G  22G 429M   7G  66052    199      0      0 
  11   0  1810   2111 200M  65M  23G  22G 430M   7G  47360    142      0      0 
  10   0  1402   1760 203M  65M  23G  22G 431M   7G  18692     57      0      0 
  15   0  2313   2633 201M  65M  23G  22G 431M   7G  66052    199    104      2 
  16   0  2413   2613 201M  65M  23G  22G 432M   7G  64516    195 121320    124 
   6   0  1024   1544 198M  65M  23G  22G 433M   7G   3584     11      0      0 
  17   0  2284   2438 199M  65M  23G  22G 434M   7G  64004    194      0      0 
  12   0  1912   2187 201M  65M  23G  22G 435M   7G  54404    167      0      0 
  10   0  1367   1769 248M  65M  23G  22G 436M   7G  11648     34    120      2 
  18   1  2531   2744 258M  65M  23G  22G 436M   7G  66052    211  25856     25 
  14   0  2319   2439 259M  65M  23G  22G 438M   7G  53508    163 136388    187 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   8   0  1245   1659 293M  65M  23G  22G 438M   7G  12544     38      0      0 
  16   0  2324   2487 253M  65M  23G  22G 439M   7G  66052    201      0      0 
  15   0  2215   2499 283M  65M  23G  22G 440M   7G  64516    194      0      0 
  10   0  1287   1645 276M  65M  23G  22G 441M   7G  12160     38    156      2 
  11   1  2200   2552 253M  65M  23G  22G 442M   7G  55373    165 121199    124 
  15   0  2434   2840 265M  64M  23G  22G 442M   7G  66118    201      0      0 
  14   0  1559   1832 248M  64M  23G  22G 443M   7G  16512     50      0      0 
   9   0  1677   2101 253M  64M  23G  22G 444M   7G  49540    149      0      0 
  15   0  2387   2801 274M  64M  23G  22G 445M   7G  66052    200    124      2 
  14   0  1977   2188 274M  64M  23G  22G 446M   7G  41860    128 161756    172 
  10   0  1373   1687 239M  64M  23G  22G 447M   7G  24196     72      0      0 
  19   1  2485   2615 269M  64M  23G  22G 448M   7G  66052    204      0      0 
  15   0  2109   2446 272M  64M  23G  22G 449M   7G  49412    149      0      0 
   7   0  1196   1648 242M  64M  23G  22G 450M   7G  16640     50    108      2 
