waiting for 1 second sample...
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  11   0  5055   9040 280M  41M  22G  21G 640M   8G      0      0      4      2 
   7   0  1819   1847 238M  41M  22G  21G 640M   8G  43136    337      8      4 
  15   1  6007  10690 278M  41M  22G  21G 640M   8G      0      0     12      6 
  10   0  2825   3948 255M  41M  22G  21G 640M   8G  21508    169     20      8 
  12   0  1721   1721 234M  41M  22G  21G 640M   8G  21248    166 121104    132 
  13   2  7779  14449 275M  41M  22G  21G 640M   8G      0      0     16      8 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   6   0  2057   2814 235M  41M  22G  21G 640M   8G  40704    318      8      4 
  11   0  3515   5792 283M  41M  22G  21G 639M   8G   7168     56      8      4 
  19   1  6025   8888 236M  41M  22G  21G 639M   8G  43136    337     12      6 
  11   0  1506   1732 227M  41M  22G  21G 639M   8G   8836     70 148956    158 
  44   0  5792   7686 270M  41M  22G  21G 639M   8G      0      0      8      5 
  28   0  5201   7789 274M  41M  22G  21G 638M   8G      0      0      4      2 
   7   0  1622   1909 252M  41M  22G  21G 639M   8G  22144    173      8      4 
   9   1  5754  10320 273M  41M  22G  21G 639M   8G      4      1     16      6 
  12   0  2226   2027 230M  41M  22G  21G 639M   8G  44160    345  23912     29 
   9   1  4926   9347 258M  41M  22G  21G 638M   8G      0      0 107900    121 
  15   0  2376   2084 271M  41M  22G  21G 638M   8G  45568    356      8      4 
   7   0  1145   1425 263M  41M  22G  21G 638M   8G   8056     63      0      0 
  28   2  9833  16840 241M  41M  22G  21G 638M   8G   7303     57     20     10 
  15   0  1906   1709 295M  41M  22G  21G 636M   8G  28643    224      0      0 
  11   1  5038   9366 276M  41M  22G  21G 637M   8G      0      0 141796    188 
  65   0  3745   2406 276M  41M  22G  21G 638M   8G      0      0      0      0 
   7   0  3152   4173 260M  41M  22G  21G 638M   8G  38695    302     16      8 
  12   1  5069   8598 229M  41M  22G  21G 638M   8G   7940     63     20      8 
   9   0  2905   4056 229M  41M  22G  21G 638M   8G  25216    197      8      4 
  11   0  1667   1622 230M  41M  22G  21G 638M   8G  16240    127 153135    172 
  16   1  7664  13368 293M  39M  22G  21G 638M   8G      0      0     12      7 
  10   0  2003   1863 255M  39M  22G  21G 637M   8G  38400    300      8      4 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  11   0  4598   7940 297M  39M  22G  21G 636M   8G      0      0      8      4 
  11   1  4539   7013 277M  38M  22G  21G 637M   8G  23552    184     16      8 
   8   0  1593   1600 276M  38M  22G  21G 637M   8G  24296    190  94098    139 
  20   1  7087  15413 274M  37M  22G  21G 637M   8G  13073    103  50587     78 
   8   0  1459   1533 281M  37M  22G  21G 636M   8G  21120    165      0      0 
  59   0  4420   4062 265M  37M  22G  21G 636M   8G      0      0     16      8 
   6   1  5893  10362 274M  36M  22G  21G 636M   8G  17024    133     16      8 
   8   0  1643   1691 248M  36M  22G  21G 636M   8G  26752    209    108     10 
  15   1  7292  12421 267M  35M  22G  21G 637M   8G   7296     57 151372    167 
  11   0  1884   1680 232M  35M  22G  21G 637M   8G  35456    277      0      0 
  16   1  7391  12575 274M  33M  22G  21G 636M   8G  14976    117     16      8 
  10   0  1636   1473 245M  33M  22G  21G 636M   8G  30208    236      0      0 
  34   1  6221   9590 276M  33M  22G  21G 636M   8G      4      1     16      6 
  25   1  5386   7095 267M  33M  22G  21G 636M   8G  32159    251 144628    161 
   6   0  1213   1338 273M  33M  22G  21G 635M   8G  15726    123      0      0 
  29   1  5830   9111 280M  32M  22G  21G 636M   8G      0      0     12      6 
  65   0  3631   2146 276M  32M  22G  21G 635M   8G      0      0      0      0 
  15   1  4999   6672 250M  31M  22G  21G 635M   8G  58240    455     16      8 
   7   0  3784   6685 271M  31M  22G  21G 635M   8G      0      0  21908     33 
  15   1  6055   9669 246M  31M  22G  21G 636M   8G  18906    148  85721     94 
  11   0  2736   3809 294M  31M  22G  21G 634M   8G  21547    168      8      4 
  11   1  5669   9876 277M  31M  22G  21G 635M   8G   5252     42     12      4 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   9   0  2997   4350 274M  31M  22G  21G 635M   8G  23680    185      8      4 
  17   1  5539   7788 263M  31M  22G  21G 635M   8G  51328    401      8      4 
   5   0  1206   1390 261M  31M  22G  21G 635M   8G   2304     18 163972    183 
  41   1  7630  11690 274M  31M  22G  21G 635M   8G      0      0      8      5 
  36   0  3610   3658 248M  31M  22G  21G 635M   8G  15616    122     16      8 
  11   0  1649   1568 307M  31M  22G  21G 635M   8G  23296    182      0      0 
  10   1  7391  13362 277M  31M  22G  21G 635M   8G      0      0     16      8 
  12   0  2166   1925 242M  31M  22G  21G 635M   8G  35456    277 130240    155 
  10   1  5720  10282 292M  31M  22G  21G 634M   8G      4      1     16      6 
  10   0  2083   1896 248M  31M  22G  21G 634M   8G  45101    352      8      4 
  15   1  6137  10829 275M  31M  22G  21G 634M   8G      0      0      8      4 
  10   0  2536   3375 260M  31M  22G  21G 635M   8G  21461    168     16      8 
  15   0  3017   4221 272M  31M  22G  21G 634M   8G   9106     71 133583    144 
   7   1  5027   9284 283M  31M  22G  21G 634M   8G      0      0      4      1 
  39   0  3202   1968 247M  31M  22G  21G 635M   8G  43904    343      4      3 
  24   0  1789   1494 242M  31M  22G  21G 635M   8G   5760     45      0      0 
  20   1  7181  12266 277M  31M  22G  21G 635M   8G   2944     23     16      8 
   9   0  1780   1538 238M  31M  22G  21G 635M   8G  39296    307  22608     23 
  11   1  3684   5929 265M  31M  22G  21G 634M   8G      4      1 175960    191 
   9   1  5205   8936 268M  31M  22G  21G 634M   8G  12544     98     16      8 
  11   1  4103   6512 272M  31M  22G  21G 634M   8G  20352    159     12      6 
  10   0  4042   6242 236M  31M  22G  21G 635M   8G  25856    202      8      4 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  10   0  1666   1752 250M  31M  22G  21G 634M   8G  23552    184    112      6 
  16   1  7518  12840 262M  31M  22G  21G 634M   8G   7040     55  82576    107 
   9   0  1489   1439 236M  31M  22G  21G 634M   8G  26112    204      0      0 
  13   1  7112  12702 250M  31M  22G  21G 634M   8G      4      1     32     14 
   8   0  1857   1592 282M  31M  22G  21G 633M   8G  44800    350      0      0 
  53   0  2899   1602 282M  31M  22G  21G 633M   8G      0      0     12      6 
   7   3  5658  12460   3G  31M  19G  18G 561M   8G    100      3 164256    174 
   9   0  1682   1937   3G  31M  19G  18G 560M   8G  44548    380      4      3 
  12   1  6834  12263   3G  31M  19G  18G 560M   8G      0      0     16      8 
   9   0  1627   1982   3G  31M  19G  18G 560M   8G  28416    222      8      4 
  11   1  6164  10971   3G  31M  19G  18G 560M   8G      0      0     12      6 
   7   0  1944   1938   3G  31M  19G  18G 560M   8G  46340    363 169600    227 
   4   0   937   1513   3G  31M  19G  18G 560M   8G      0      0  15632     24 
  12   0  6242  11136   2G  31M  19G  18G 560M   8G   3588     29      8      4 
  11   0  3553   5510   2G  31M  19G  18G 560M   8G  17152    134     12      6 
  15   1  4641   6231   2G  31M  19G  18G 560M   8G  53888    421      8      4 
  11   0  3062   4947   2G  31M  19G  18G 560M   8G    128      1    104      6 
  18   1  5961   9948   2G  31M  19G  18G 560M   8G      0      0 135900    167 
   8   0  1933   1785   2G  31M  19G  18G 560M   8G  45184    353      8      4 
  21   1  5920   9958   2G  31M  20G  19G 560M   8G      0      0     12      6 
  51   0  4343   4474   2G  31M  20G  19G 560M   8G      0      0      8      4 
   9   0  1864   1859   2G  31M  20G  19G 560M   8G  33152    259      8      4 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   5   0  2836   4705   2G  31M  20G  19G 560M   8G      4      1 134220    155 
  15   1  5453   9100   2G  31M  20G  19G 560M   8G  10496     82      8      4 
   9   0  1755   1502   2G  31M  20G  19G 560M   8G  40064    313      0      0 
  13   1  7031  12548   2G  31M  20G  19G 562M   8G      0      0     20     10 
  12   0  2179   1930   2G  31M  20G  19G 562M   8G  44032    344      8      4 
  12   1  6844  12006   2G  31M  20G  19G 563M   8G      0      0 136828    147 
   3   0  1833   2970   2G  31M  20G  19G 564M   8G   8960     70     16      8 
  12   0  1673   1485   2G  31M  20G  19G 564M   8G  27648    216      0      0 
  52   0  6742   9240   2G  31M  20G  19G 565M   8G      0      0     12      6 
  19   0  3906   5775   2G  31M  20G  19G 565M   8G   6916     55     16      6 
  10   0  2072   1688   2G  31M  20G  19G 565M   8G  43776    342 127684    142 
  12   1  6995  12536   2G  31M  20G  19G 567M   8G      0      0     20     10 
   5   0  1473   1721   2G  31M  20G  19G 567M   8G  21632    169      8      4 
   8   1  5215   9393   2G  31M  20G  19G 568M   8G      0      0      8      4 
  32   0  2895   1861   2G  31M  20G  19G 568M   8G  43520    340      8      4 
   7   0  2664   4274   2G  31M  20G  19G 569M   8G   8184     64  52539     63 
  24   1  6761  11046   1G  31M  20G  19G 570M   8G      0      0  80364     89 
   6   0  1532   1692   1G  31M  20G  19G 570M   8G  27035    211      8      4 
   5   0  4845   8522   1G  31M  20G  19G 571M   8G   7940     63     24     10 
   8   0  1581   1494   1G  31M  20G  19G 571M   8G  29568    231      0      0 
  18   1  6678  11129   1G  31M  20G  19G 573M   8G  32384    253     16      8 
   5   0  1310   1480   1G  31M  20G  19G 573M   8G  10880     85 185436    270 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  56   0  4699   4836   1G  31M  20G  19G 573M   8G      0      0      8      5 
   9   1  5370   8729   1G  31M  21G  20G 574M   8G  33664    263      8      4 
   6   0   976   1309   1G  31M  21G  20G 574M   8G   3584     28      0      0 
  17   1  6640  12379   1G  31M  21G  20G 576M   8G      0      0     20     10 
  12   0  2381   2061   1G  31M  21G  20G 576M   8G  48512    379 127224    134 
   5   0  3047   5460   1G  31M  21G  20G 577M   8G      4      1     16      6 
  18   1  6076   9121   1G  31M  21G  20G 578M   8G  36608    286     16      8 
  13   0  3700   6047   1G  31M  21G  20G 579M   8G   6400     50      8      4 
  10   1  4574   7778   1G  31M  21G  20G 580M   8G   8960     70      8      4 
  11   0  1742   1579   1G  31M  21G  20G 580M   8G  20352    159 136224    163 
  11   1  6462  11176   1G  31M  21G  20G 581M   8G  16768    131     12      6 
  55   0  3487   1796   1G  31M  21G  20G 581M   8G  26880    210      0      0 
   7   0  3486   6009   1G  31M  21G  20G 582M   8G   6272     49     12      6 
  16   0  4667   7713   1G  31M  21G  20G 583M   8G   3584     28      8      4 
   9   1  3508   5353   1G  31M  21G  20G 583M   8G  18052    142  58716     65 
  11   0  4533   6503   1G  31M  21G  20G 584M   8G  36608    286  84008     93 
  15   0  5100   8457   1G  31M  21G  20G 585M   8G   7424     58     12      6 
   6   0  2542   3682   1G  31M  21G  20G 586M   8G  24192    189      8      4 
  13   1  5675   9954 948M  31M  21G  20G 587M   8G   1024      8      8      4 
   8   0  2331   2552 903M  31M  21G  20G 587M   8G  41344    323      8      4 
  11   1  4070   6676 863M  31M  21G  20G 588M   8G   4480     35 139032    146 
  10   1  3814   5870 814M  31M  21G  20G 589M   8G  22912    179      8      4 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   1  5853  10227 754M  31M  21G  20G 590M   8G   6148     49     12      4 
  14   0  2065   2062 728M  31M  21G  20G 590M   8G  26496    207      8      4 
   6   0  1291   1407 709M  31M  22G  20G 590M   8G  19328    151      0      0 
  15   1  7923  13751 624M  31M  22G  21G 592M   8G   9344     73 127124    143 
  11   0  1940   1722 588M  31M  22G  21G 593M   8G  36864    288      0      0 
  10   1  6401  11427 526M  31M  22G  21G 594M   8G   1536     12     20     10 
  12   0  1707   1605 502M  31M  22G  21G 594M   8G  23552    198      0      0 
   9   1  6253  11169 441M  31M  22G  21G 596M   8G   2560     21     16      8 
  11   0  2290   1845 401M  31M  22G  21G 596M   8G  40964    341 166804    182 
   9   1  4701  11322 349M  31M  22G  21G 597M   8G      0      0      4      3 
   7   0  1812   1939 317M  31M  22G  21G 597M   8G  31360    246      8      4 
  17   0  5969  11120 248M  31M  22G  21G 599M   8G   3456     27     16      8 
  13   2  2027   1737   2G  31M  19G  18G 532M   8G  40192    314      0      0 
  42   1  5385   7072   2G  31M  20G  18G 532M   8G      0      0  73468     80 
  20   0  4254   6337   2G  31M  20G  19G 532M   8G   6912     54  66060     70 
   8   0  1637   1617   2G  31M  20G  19G 532M   8G  31360    245      8      4 
  10   1  6344  11297   2G  31M  20G  19G 532M   8G   4864     38      8      4 
  11   0  2164   2494   2G  31M  20G  19G 532M   8G  27140    213     16      6 
   9   1  5765  10008   2G  31M  20G  19G 532M   8G  11264     88      8      4 
  13   0  2203   1771   2G  31M  20G  19G 532M   8G  40196    315 127980    152 
  11   1  6436  11557   2G  31M  20G  19G 533M   8G      0      0     12      6 
  23   0  3190   3333   2G  31M  20G  19G 534M   8G  30976    242     16      8 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  11   0  2655   4257   2G  31M  20G  19G 534M   8G      0      0     12      6 
  11   1  5425   9068   2G  31M  20G  19G 536M   8G  19584    153      8      4 
   8   0  1584   1488   2G  31M  20G  19G 536M   8G  23936    187 118420    121 
  48   0  5743   9935   2G  31M  20G  19G 537M   8G      0      0     12      6 
  18   0  2956   4268   2G  31M  20G  19G 537M   8G   9984     78      8      4 
  11   0  1838   1694   2G  31M  20G  19G 537M   8G  34816    272      0      0 
  20   1  7655  12934   2G  31M  20G  19G 539M   8G   8324     66     28     12 
  15   0  2250   1746   2G  31M  20G  19G 539M   8G  38234    299 173634    202 
   8   1  4244   7504   2G  31M  20G  19G 540M   8G      0      0      8      4 
  10   1  5483   9359   1G  31M  20G  19G 541M   8G  12685     99     16      8 
   9   0  2090   2593   1G  31M  20G  19G 541M   8G  27237    213      8      4 
  12   1  5836   9996   1G  31M  20G  19G 543M   8G  16785    131      8      4 
  13   0  1860   1693   1G  31M  20G  19G 543M   8G  25702    201  90162     90 
  11   1  6030  11485   1G  31M  20G  19G 545M   8G   2310     19  39624     55 
  46   0  3001   1747   1G  31M  20G  19G 545M   8G  19712    154      0      0 
   9   0  3748   6265   1G  31M  21G  19G 545M   8G   9728     76     12      6 
  12   0  4954   7162   1G  31M  21G  20G 546M   8G  46080    360      8      4 
  14   0  6383  11204   1G  31M  21G  20G 548M   8G   2048     16     20     10 
   9   0  1751   1550   1G  31M  21G  20G 548M   8G  24424    191 171604    184 
   9   1  6116  10987   1G  31M  21G  20G 550M   8G      0      0     12      6 
  11   0  2188   1867   1G  31M  21G  20G 550M   8G  50560    395      8      4 
  12   0  5054   8986   1G  31M  21G  20G 551M   8G      0      0     12      6 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  10   0  3914   6299   1G  31M  21G  20G 552M   8G  26500    208     20      8 
   9   0  2415   3251   1G  31M  21G  20G 552M   8G  12288     96 127812    174 
   9   1  5559   9737   1G  31M  21G  20G 554M   8G   5504     43      8      4 
  12   0  1910   1809   1G  31M  21G  20G 554M   8G  32384    253      0      0 
  49   0  4966   5915   1G  31M  21G  20G 554M   8G      0      0     12      6 
  23   1  6161   9087   1G  31M  21G  20G 556M   8G  34304    268     12      6 
  14   1  5957   9920   1G  31M  21G  20G 557M   8G   8448     66 184492    189 
   1   0   920   1465   1G  31M  21G  20G 557M   8G   4736     37      8      4 
  13   0  2196   2595   1G  31M  21G  20G 557M   8G  22532    177     12      4 
   9   1  6036  10555   1G  31M  21G  20G 559M   8G   8960     70      8      4 
  13   0  2064   1695 986M  31M  21G  20G 559M   8G  44160    345      0      0 
  18   1  7559  13002 914M  31M  21G  20G 561M   8G      0      0  85444    112 
   6   0  1947   2705 895M  31M  21G  20G 561M   8G  13184    103  48036     51 
   8   0  1568   1578 868M  31M  21G  20G 561M   8G  28032    219      0      0 
  13   1  6692  11920 804M  31M  21G  20G 563M   8G   1152      9     16      8 
   9   0  1648   1559 772M  31M  21G  20G 563M   8G  32256    252      0      0 
  55   0  3459   2449 767M  31M  21G  20G 563M   8G      0      0     96      8 
   5   0  6427  11692 704M  31M  22G  20G 564M   8G      0      0 135012    140 
  11   0  2196   1965 656M  31M  22G  21G 564M   8G  49235    386     12      4 
  11   1  6510  11576 592M  31M  22G  21G 566M   8G      0      0      8      4 
   8   0  1554   1745 573M  31M  22G  21G 566M   8G  19712    154      8      4 
  11   0  5291   9447 526M  31M  22G  21G 567M   8G    640      5     24     12 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   9   0  2032   1533 478M  31M  22G  21G 567M   8G  47872    374 144200    149 
  15   0  7151  12641 411M  31M  22G  21G 569M   8G      0      0     28     14 
  10   0  1774   1660 381M  31M  22G  21G 569M   8G  30592    239      0      0 
   9   1  5906  10345 319M  31M  22G  21G 571M   8G   8452     67     20      8 
  12   0  1944   1883 289M  31M  22G  21G 571M   8G  30336    237      0      0 
  56   1  6242   7518 252M  31M  22G  21G 572M   8G      0      0 180852    198 
   2   0  2786   5258 227M  31M  22G  21G 573M   8G      0      0      4      1 
  15   2  2428   2067   4G  31M  18G  17G 474M   8G  48512    379      4      3 
  12   1  6012  10676   3G  31M  18G  17G 474M   8G      0      0     12      6 
  17   0  3058   4124   3G  31M  18G  17G 474M   8G  10741     84     16      8 
   9   0  2529   3507   3G  31M  18G  17G 474M   8G  19219    150  76733     83 
  11   1  5314   9529   3G  31M  18G  17G 474M   8G      0      0  58088     59 
   7   0  1948   1818   3G  31M  18G  17G 474M   8G  46720    365      4      3 
  14   0  6564  11686   3G  31M  19G  17G 474M   8G      0      0     16      8 
   6   0  1532   1716   3G  31M  19G  17G 474M   8G  23940    188     12      4 
   9   1  5434   9733   3G  31M  19G  18G 474M   8G      0      0     96     12 
  27   0  2780   1663   3G  31M  19G  18G 474M   8G  47104    368 123692    124 
   5   0  2570   4549   3G  31M  19G  18G 474M   8G      0      0     12      6 
  58   0  5579   6414   3G  31M  19G  18G 475M   8G      0      0      0      0 
  10   0  3743   4987   3G  31M  19G  18G 475M   8G  45184    353     16      8 
  15   1  7047  12401   3G  31M  19G  18G 477M   8G      0      0     16      8 
   7   0  1810   1738   3G  31M  19G  18G 477M   8G  29824    233 138664    146 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   5   0  1549   2587   3G  31M  19G  18G 477M   8G      4      1     16      6 
  19   1  7081  10937   3G  31M  19G  18G 479M   8G  47104    368      8      4 
  14   0  3467   5478   3G  31M  19G  18G 479M   8G   4224     33      8      4 
  19   1  5810   8788   3G  31M  19G  18G 480M   8G  28969    226     16      8 
  11   1  5285   8885   3G  31M  19G  18G 481M   8G   5636     45 130692    157 
   4   0  2544   4262   3G  31M  19G  18G 482M   8G   7190     56      8      4 
   9   0  1680   1544   3G  31M  19G  18G 482M   8G  32512    254      0      0 
  58   0  4238   3716   3G  31M  19G  18G 482M   8G      0      0     12      6 
  10   1  6765  10814   3G  31M  19G  18G 483M   8G  47616    372     12      6 
  11   0  4457   7714   2G  31M  19G  18G 484M   8G   3332     27     92      8 
   6   0  3675   6229   2G  31M  19G  18G 485M   8G      0      0 177512    182 
  11   0  1928   1760   2G  31M  19G  18G 485M   8G  36992    289      4      3 
  14   1  7176  12772   2G  31M  19G  18G 487M   8G      0      0     16      8 
  10   0  1977   1857   2G  31M  19G  18G 487M   8G  39680    310      8      4 
  12   0  5212   9185   2G  31M  20G  18G 488M   8G    896      7    116      6 
  12   1  4105   5393   2G  31M  20G  18G 489M   8G  44800    350 115228    139 
  14   1  4739   8083   2G  31M  20G  19G 490M   8G      4      1     12      4 
  14   1  3687   5089   2G  31M  20G  19G 491M   8G  32384    253      8      4 
  31   0  3347   4087   2G  31M  20G  19G 491M   8G      0      0     12      6 
  35   1  6927  10155   2G  31M  20G  19G 493M   8G  20224    158    108     10 
   7   0  1609   1607   2G  31M  20G  19G 493M   8G  24064    188 134520    179 
   7   1  5769  10559   2G  31M  20G  19G 494M   8G      0      0     12      7 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   0  1836   1785   2G  31M  20G  19G 494M   8G  29440    230      0      0 
  10   1  6244  11319   2G  31M  20G  19G 496M   8G      0      0      8      4 
  11   0  2100   1875   2G  31M  20G  19G 496M   8G  41344    323    100      6 
  10   1  6055  10922   2G  31M  20G  19G 497M   8G      4      1     12      4 
  11   0  2254   1909   2G  31M  20G  19G 497M   8G  40192    314 179608    182 
   6   0  3052   6803   2G  31M  20G  19G 498M   8G      0      0     12      6 
  11   0  3770   6504   2G  31M  20G  19G 499M   8G  14592    114      8      4 
  10   0  3422   5300   2G  31M  20G  19G 500M   8G  16640    130     12      6 
  59   0  5234   5757   2G  31M  20G  19G 501M   8G      0      0     80      2 
   3   0  2524   3932   2G  31M  20G  19G 501M   8G  11776     92 134120    141 
   9   0  1881   1545   2G  31M  20G  19G 501M   8G  44672    349      0      0 
  29   1  8072  13561   1G  31M  20G  19G 503M   8G      0      0     16      8 
  11   0  1784   2040   1G  31M  20G  19G 503M   8G  33664    263      8      4 
  18   1  7025  11903   1G  31M  20G  19G 505M   8G  10116     80     20      8 
   9   0  1556   1622   1G  31M  20G  19G 505M   8G  27136    212 130040    133 
   9   1  6177  11117   1G  31M  21G  19G 507M   8G      0      0      8      5 
  11   0  1772   1856   1G  31M  21G  19G 507M   8G  43008    336      8      4 
  15   1  6999  13669   1G  31M  21G  20G 508M   8G      0      0     12      6 
  10   0  1648   1823   1G  31M  21G  20G 508M   8G  34816    272      8      4 
  34   0  3944   4975   1G  31M  21G  20G 509M   8G      0      0     12      6 
  30   0  6100   9080   1G  31M  21G  20G 510M   8G      0      0 138481    171 
   7   0  2071   2702   1G  31M  21G  20G 510M   8G  48945    382      8      5 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  16   0  6776  11877   1G  31M  21G  20G 512M   8G      4      1     16      6 
   5   0  1312   1742   1G  31M  21G  20G 512M   8G  20224    158      8      4 
  12   0  4582   9800   1G  31M  21G  20G 513M   8G      0      0     12      6 
  12   0  2144   1974   1G  31M  21G  20G 513M   8G  49408    386 199608    219 
   5   0  2479   4295   1G  31M  21G  20G 514M   8G      0      0     12      6 
  21   1  6887  10676   1G  31M  21G  20G 515M   8G  30720    240     16      8 
  13   0  1620   1480   1G  31M  21G  20G 515M   8G  19584    153      0      0 
   9   1  7410  13384   1G  31M  21G  20G 517M   8G      0      0     16      8 
  33   0  3157   2123   1G  31M  21G  20G 517M   8G  40324    316 112308    118 
  54   0  3085   1569   1G  31M  21G  20G 518M   8G   8064     63  10752     12 
   4   0   990   1527   1G  31M  21G  20G 518M   8G      0      0     12      6 
  18   2  7558  13964   1G  31M  21G  20G 520M   8G      0      0      8      4 
   9   0  1823   1860 988M  31M  21G  20G 520M   8G  32000    250      8      4 
  13   1  6313  10366 912M  31M  21G  20G 521M   8G  24064    188     20     10 
  10   0  1806   1751 893M  31M  21G  20G 521M   8G  18560    145 182776    191 
  15   1  6038  10725 810M  31M  21G  20G 523M   8G  21376    167      8      4 
   9   0  1773   2260 790M  31M  21G  20G 523M   8G  15232    119      8      4 
  27   1  8176  12988 700M  31M  22G  20G 525M   8G  20356    160     20      8 
  14   0  1902   1607 666M  31M  22G  20G 525M   8G  34816    272      0      0 
  35   0  5139   6877 632M  31M  22G  20G 526M   8G      0      0 127988    134 
  47   0  5356   6743 600M  31M  22G  21G 527M   8G      0      0      4      1 
   3   0  2729   4306 561M  31M  22G  21G 527M   8G  20992    164      8      5 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   0  4721   7742 508M  31M  22G  21G 528M   8G  15360    120      8      4 
  17   0  2979   3852 479M  31M  22G  21G 529M   8G  16128    126      8      4 
   9   0  1764   1594 454M  31M  22G  21G 529M   8G  25472    199 134132    136 
  15   1  6102  10605 397M  31M  22G  21G 530M   8G      0      0      8      4 
   5   0  3765   5544 335M  31M  22G  21G 531M   8G  39680    310     12      6 
  15   0  5596   9654 281M  31M  22G  21G 533M   8G   3972     32     12      4 
   6   0  2034   2344 244M  31M  22G  21G 533M   8G  34176    267      8      4 
  12   0  3220   4991 504M  31M  22G  21G 526M   8G   7808     61     88      8 
   9   1  5440   9554 451M  31M  22G  21G 527M   8G      4      1 133724    139 
  11   0  2049   2078 420M  31M  22G  21G 527M   8G  32640    255      8      4 
  17   1  6746  11269 349M  31M  22G  21G 529M   8G  12676    100     16      8 
   9   0  1709   1503 312M  31M  22G  21G 529M   8G  37504    293      0      0 
  18   1  7244  12600 243M  31M  22G  21G 530M   8G      0      0     20     10 
  12   0  2132   1915 296M  31M  22G  21G 530M   8G  27012    212 183436    220 
   4   0  2640   5021 272M  31M  22G  21G 531M   8G      0      0     12      6 
  12   1  4246   7152 229M  31M  22G  21G 532M   8G  22528    176      8      4 
   8   0  1544   1503 233M  31M  22G  21G 532M   8G  27904    218      0      0 
  14   1  7207  12843 233M  31M  22G  21G 534M   8G    640      5     24     12 
  12   0  2097   1758 235M  31M  22G  21G 534M   8G  36608    286  73880     77 
  14   1  6947  11937 231M  31M  22G  21G 536M   8G  10752     84     20     10 
  10   0  1629   1516 231M  31M  22G  21G 536M   8G  28288    221      0      0 
  58   0  4595   4423 303M  31M  22G  21G 536M   8G      0      0     12      6 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  14   1  6151  10766 245M  31M  22G  21G 537M   8G      4      1     12      4 
  11   0  2474   1945 273M  31M  22G  21G 538M   8G  52992    414 200364    218 
   5   0  2653   6137 248M  31M  22G  21G 538M   8G      0      0      8      4 
  17   1  5538  10576 242M  31M  22G  21G 540M   8G  36864    288     16      8 
   7   0  2400   3360 299M  31M  22G  21G 540M   8G  10880     85     12      6 
  14   1  6873  12119 234M  31M  22G  21G 542M   8G   2432     19     16      8 
  12   0  1818   1724 287M  31M  22G  21G 542M   8G  27008    211      0      0 
  11   1  6988  12235 259M  31M  22G  21G 543M   8G      0      0 158772    166 
   7   0  2094   2183 294M  30M  22G  21G 544M   8G  45568    356      8      4 
  15   1  5786  10013 275M  30M  22G  21G 545M   8G   2436     20     12      4 
  24   0  2988   3144 256M  30M  22G  21G 545M   8G  24448    191      8      4 
  11   1  6116  10887 277M  30M  22G  21G 547M   8G      0      0      8      4 
  10   0  2260   1898 231M  30M  22G  21G 547M   8G  46592    364 130396    137 
